     1    0.810946    0.173978
     2    0.178701    0.784018
     3    0.707874    0.209941
     4    0.252158    0.570063
     5    0.406992    0.339845
     6    0.486768    0.288096
     7    0.223591    0.647660
     8    0.739203    0.201156
     9    0.197435    0.761388
    10    0.740821    0.200727
    11    0.223901    0.648819
    12    0.489334    0.286185
    13    0.398275    0.352106
    14    0.256135    0.566546
    15    0.716451    0.183327
    16    0.197250    0.760309
    17    0.173978    0.810946
    18    0.784018    0.178701
    19    0.209941    0.707874
    20    0.570063    0.252158
    21    0.339845    0.406992
    22    0.288096    0.486768
    23    0.647660    0.223591
    24    0.201156    0.739203
    25    0.761388    0.197435
    26    0.200727    0.740821
    27    0.648819    0.223901
    28    0.286185    0.489334
    29    0.352106    0.398275
    30    0.566546    0.256135
    31    0.183327    0.716451
    32    0.760309    0.197250
    33    0.810946    0.173978
    34    0.178701    0.784018
    35    0.707874    0.209941
    36    0.252158    0.570063
    37    0.406992    0.339845
    38    0.486768    0.288096
    39    0.223591    0.647660
    40    0.739203    0.201156
    41    0.197435    0.761388
    42    0.740821    0.200727
    43    0.223901    0.648819
    44    0.489334    0.286185
    45    0.398275    0.352106
    46    0.256135    0.566546
    47    0.716451    0.183327
    48    0.197250    0.760309
    49    0.173978    0.810946
    50    0.784018    0.178701
    51    0.209941    0.707874
    52    0.570063    0.252158
    53    0.339845    0.406992
    54    0.288096    0.486768
    55    0.647660    0.223591
    56    0.201156    0.739203
    57    0.761388    0.197435
    58    0.200727    0.740821
    59    0.648819    0.223901
    60    0.286185    0.489334
    61    0.352106    0.398275
    62    0.566546    0.256135
    63    0.183327    0.716451
    64    0.760309    0.197250
